GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
310M300US10140,10140,"Aberdeen, WA Micro Area",72697,*****,63735,644,717,392,3120,569,1335,208,117,120,729,524,2944,752,121,162,2823,741
310M300US10180,10180,"Abilene, TX Metro Area",169747,2733,124761,3326,14614,1421,1165,795,3205,327,253,433,21324,3295,4425,1284,1149,576,3276,1075
310M300US10300,10300,"Adrian, MI Micro Area",98623,*****,91890,844,1795,563,746,392,264,162,55,85,924,478,2949,904,496,568,2453,649
310M300US10420,10420,"Akron, OH Metro Area",703505,*****,571586,1380,86866,2388,1705,680,22135,1545,378,386,2844,1321,17991,2712,724,614,17267,2704
310M300US10460,10460,"Alamogordo, NM Micro Area",65817,*****,53443,1517,1870,769,4261,791,700,600,266,333,2447,1290,2830,1255,695,612,2135,1123
310M300US10500,10500,"Albany, GA Metro Area",151754,1560,63085,1000,80352,2626,501,574,1936,88,148,248,1636,716,4096,2178,510,645,3586,2159
310M300US10540,10540,"Albany, OR Metro Area",125047,*****,113855,1792,335,252,1277,877,1995,332,0,207,2376,1605,5209,1044,796,710,4413,779
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",886188,*****,731493,3686,71825,3522,1914,582,40362,1971,112,161,11871,2904,28611,3957,2638,1230,25973,3872
310M300US10700,10700,"Albertville, AL Micro Area",95548,*****,88908,1369,2140,564,670,387,687,104,149,196,1244,1287,1750,841,368,520,1382,638
